Codes,Category
005,ABRASIVES
010,"ACOUSTICAL TILE, INSULATING MATERIALS, AND SUPPLIES"
015,"ADDRESSING, COPYING, MIMEOGRAPH, AND SPIRIT DUPLICATING MACHINE SUPPLIES: CHEMICALS, INKS, PAPER, ETC."
019,"AGRICULTURAL CROPS AND GRAINS INCLUDING FRUITS, MELONS, NUTS, AND VEGETABLES"
020,"AGRICULTURAL EQUIPMENT, IMPLEMENTS, AND ACCESSORIES (SEE CLASS 022 FOR PARTS)"
022,AGRICULTURAL EQUIPMENT AND IMPLEMENT PARTS
025,AIR COMPRESSORS AND ACCESSORIES
031,"AIR CONDITIONING, HEATING, AND VENTILATING EQUIPMENT, PARTS AND ACCESSORIES (SEE CLASS 740 ALSO)"
035,"AIRCRAFT AND AIRPORT EQUIPMENT, PARTS, AND SUPPLIES"
037,"AMUSEMENT, DECORATIONS, ENTERTAINMENT, GIFTS, TOYS, ETC."
040,"ANIMALS, BIRDS, MARINE LIFE, AND POULTRY, LIVE, (INCLUDING ACCESSORY ITEMS)"
045,"APPLIANCES AND EQUIPMENT, HOUSEHOLD TYPE"
050,ART EQUIPMENT AND SUPPLIES
052,ART OBJECTS
055,"AUTOMOTIVE ACCESSORIES FOR AUTOMOBILES, BUSES, TRAILERS, TRUCKS, ETC."
060,AUTOMOTIVE AND TRAILER EQUIPMENT AND PARTS 
065,"AUTOMOTIVE AND TRAILER BODIES, BODY ACCESSORIES, AND PARTS"
071,"AUTOMOBILES, SCHOOL BUSES, SUVS, AND VANS (INCLUDING DIESEL, GASOLINE, ELECTRIC, HYBRID, AND ALL OTHER FUEL TYPES)"
072,"TRUCKS (INCLUDING, DIESEL, GASOLINE, ELECTRIC, HYBRID, AND ALTERNATIVE FUEL UNITS)"
073,TRAILERS
075,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES
080,"BADGES, AWARDS, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC."
085,"BAGS, BAGGING, TIES, AND EROSION SHEETING, ETC."
090,"BAKERY EQUIPMENT, COMMERCIAL"
095,BARBER AND BEAUTY SHOP EQUIPMENT AND SUPPLIES
100,"BARRELS, DRUMS, KEGS, AND CONTAINERS"
105,BEARINGS (SEE CLASS 060 FOR WHEEL BEARINGS)
110,BELTS AND BELTING: AUTOMOTIVE AND INDUSTRIAL
115,"BIOCHEMICALS, RESEARCH"
120,"BOATS, MOTORS, AND MARINE EQUIPMENT"
125,BOOKBINDING SUPPLIES
135,"BRICKS, CLAY, REFRACTORY MATERIALS, STONE, AND TILE PRODUCTS"
140,"BROOM, BRUSH, AND MOP MANUFACTURING MACHINERY AND SUPPLIES"
145,BRUSHES (SEE CLASS 485 FOR JANITORIAL TYPE)
150,BUILDER'S SUPPLIES
155,BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRICATED
160,BUTCHER SHOP AND MEAT PROCESSING EQUIPMENT
165,"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL"
175,CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES
