,combined_text
0,parts and accessories flowmeter system ph test strips ph test strips and free ammonia reagent
1,nuts lock conduit steel locknut conduit inch pressed steel galvanized for rigid conduit on qualified products list do not purchase for st elmo per idle stock reviewlenny molbert generated by reorder am
2,sand silica contract for topdressing sand tons for lions topdressing sand for golf courses
3,shoes safety toe red wing shoe storesteel toe boots
4,tool straightner for type k copper inch rc ln qty del pf bo del date materials needed at glen bell warehouse
5,impact tools air powered not road building home depotspray bottleseli mendoza
6,tee sch pvc slip rc ln qty del pf bo del date material needed at awgbsc
7,storage devices electronic disk drive compatible digi camera sd card thumb drives i c shop crouch
8,twoway radio supplies parts and accessories tessco tessco
9,hammer ball peen whandle size no oz rc ln qty del pf bo del date material needed at awgbsc
10,sodium chloride hospira abbott labs sodium chloride injection usp bbraun medical supplies
11,lamps metal halide type base burning any positio lamps max po
12,expendable medical supply per price agreement medical supplies medical supplies
13,splices wirecable compression splice kv awg aluminum with cold shrink jacket diameter range of kit supplied with compression connector compression connector and neutrals connector on qualified products list critical materials supply arrangement
14,drugs and pharmaceuticals invoice cardinal health rifampin
15,computer accessories and supplies quote strycharskesoundbarmonitor
16,shirts tee drifit coa ss rc ln qty del pf bo del date material needed at awwbsc
17,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec latest revision replaces critical materials supply arrangement
18,sand and gravel gem sand for loads gem sand south
19,deodorant room aerosal oz rc ln qty delpf bodel date delivery date shall be no later than msc material for awwbsc
20,sand and gravel this is a contract for river rock to be delivered to locations within the austin water utility and picked up at the contractors location loads of road base for nsc
21,lamps fluorescent preheat starter or pushbutto watt highpressure sodium lamp shall contain up to less mercury than a standard highpressure sodium lamp lamp shall include a welded leadfree brass base shall pass the existing federal tclp limits and be rated for hours life lamp shall be a direct retrofit on existing ansi designated ballasts of similar wattage of standard highpressure sodium lamps and shall meet existing ansi specifications for those corresponding wattages lamp shall have no more than the same warmup time and hot restrike time as a standard highpressure sodium lamp lamp shall be noncycling and shall remain off at the end of life and shall not cycle on qualified products list generated by reorder pm
22,drop intervenous set inches total length drop intervenous set inches total length dropsml hour admin set with preslit port rotating luer ext nondeph tubing latex free each per case mfgr icu medical part number or buyer approved equavilent medical supplies
23,pole line hardware anchors arms bolts braces grip cable for conduit riser conduit cable diameter of to bronze on qualified products list grip cable for conduit
24,krinkle gauze roll dynarex ply large sterile ro krinkle gauze roll ply large sterile roll x stretched dynarex or buyer approved equavilent krinkle gauze
25,motors outboard gasoline outboard engine pdr unit aluminum jon boat outboard engine boat trailer
26,monitors color and monochrome cga vga svga et dalite deluxe projectostand with black skirt sku sku quote contract audio visual eq
27,poles metal transmission high voltage pole steel galvanized ldmod spec ft length change commodity group and commodity code from to dkokas link to to stock
28,hyd part american darling seat ring rc ln qtr del pf bo del date material needed at awgbsc
29,application software microcomputer barroncrystal
30,console patrol vehicle floor jotto desk lazy l console ems vehicle equipment console items
31,lights emergency gt whelen see attached
32,biochemical reagents and tests antibiotic assays prepfiler processing plates ea ea unit size plates total cost microamp optical strips ea unit size strips total cost polymer for genetic analyzers ea ea unit size total cost dry ice charge handling charge grand total cost dna lab supplies
33,fire suppression foam and other suppression compou gallon pails for national knockdown class a foam in square buckets cost per unit and freight is class a foam square buckets
34,screws lag galvanized steel crossarm pin foot long x inch x inch minimum penta treated to six pounds final retention in accordance with attached electric department drawing on qualified products list critical materials supply arrangement
35,display and exhibit materials altcar expo fees for sound setup and event fees ref platia invoice dated april buyer dennis phipps altcar expo fees
36,lumber redwood ace contractorsconcretewire mesh lumber
37,parts and accessories domestic water treatment paddle pressure gauge diaphragm
38,ice central park charles vaclavik outstanding invoices flash cubes ice service ice outstanding invoices
39,hand soap foam rc ln qty del pf bo del date material needed for glen bell warehouse
40,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
41,fall protection equipment and accessories for the network part qty fall arrest system
42,software mainframe database latest version or r anticipated services for amendment services for uro program
43,igel resus pack small adult intersurgical ite medical supplies
44,coupling brass mip x compression grip joint rc ln qty del pf bo del date material needed at wbsc
45,manhole ext ring for s s manhole ring standard rc ln qty del pf bo del date material needed at webberville warehouse
46,bolts anchor hot rolled steel nuts bolt machine squarehead rolledthreads hotdip galvanized furnished with one square nut assembled on qualified products list critical materials supply arrangement
47,cable data patch communication quote us communiites insight public sector
48,parts and accessories conveyor belt shipping handling powerturn parts for stock
