,Date,Order_Demand_Whse_A,Order_Demand_Whse_C,Order_Demand_Whse_J,Order_Demand_Whse_S
0,2012-01-08,218764.0,911001.5,10450377.5,6194786.0
1,2012-01-15,452309.0,1703413.0,15962919.5,1740936.0
2,2012-01-22,599388.0,1601855.3,13000134.0,3213105.0
3,2012-01-29,329116.5,1796610.2000000002,15517754.0,1306687.0
4,2012-02-05,481855.0,4578734.0,17532765.0,4302055.0
5,2012-02-12,743091.0,5140357.0,20246487.0,4984203.0
6,2012-02-19,684452.0,2163956.0,17893832.0,4846509.0
7,2012-02-26,830885.0,2874394.0,17563243.0,3380264.0
8,2012-03-04,517968.0,2856134.5,17714079.5,8001212.0
9,2012-03-11,660129.0,3501840.5,16427368.5,4584157.0
10,2012-03-18,487405.0,2345304.0,15480826.0,2528315.5
11,2012-03-25,585330.0,1905938.5,12041515.5,2455216.0
12,2012-04-01,556012.0,4045305.0,17333969.0,2822845.0
13,2012-04-08,356378.0,2739426.5,12999752.0,4672004.0
14,2012-04-15,503254.0,1262641.0,10976400.0,4038270.0
15,2012-04-22,567607.0,3133396.0,13319485.5,3918284.0
16,2012-04-29,530781.0,2369138.3333333335,15241813.5,2583246.0
17,2012-05-06,764795.0,1957021.6666666665,7265855.5,3556106.0
18,2012-05-13,514616.0,2760717.0,12074742.0,8514149.0
19,2012-05-20,632844.0,1605479.5,12063291.0,4849770.0
20,2012-05-27,666354.0,3206735.0,13226142.5,4227179.0
21,2012-06-03,725110.0,1714170.0,12939496.0,4022063.0
22,2012-06-10,917879.5,2524999.0,12116004.0,3793188.0
23,2012-06-17,536867.5,1968732.0,12659907.5,7968381.0
24,2012-06-24,819340.0,3450964.0,13703653.0,2802474.0
25,2012-07-01,550006.0,2847178.0,14180005.0,3770989.5
26,2012-07-08,743254.0,3589546.5,17961559.0,6232158.0
27,2012-07-15,565348.0,3759530.0,10387014.0,4099697.0
28,2012-07-22,621709.5,2920779.5,9403381.0,3580520.0
29,2012-07-29,662470.0,2682648.0,11669485.0,6141153.0
